,word,count
444,entitled,1
445,independent,5
446,governors,2
447,""".",1
448,pick,2
449,lyndon,1
450,hand,4
451,liberties,1
452,insisted,1
453,opportunity,2
454,blamed,2
455,tune,1
456,kid,1
457,kept,1
458,programs,3
459,charlie,2
460,suffering,1
461,greatest,4
462,mother,11
463,hearts,1
464,800,1
465,vilifies,1
466,left,10
467,unified,1
468,proposed,1
469,unemployment,1
470,aside,1
471,transforms,1
472,human,4
473,yes,7
474,yet,2
475,previous,1
476,candidate,6
477,belongs,1
478,transformed,2
479,board,3
480,innocent,1
481,prison,2
482,contestant,1
483,save,7
484,gave,14
485,opt,1
486,21st,2
487,rnc,1
488,possible,2
489,arab,3
490,birth,2
491,judge,2
492,advanced,1
493,county,1
494,56,2
495,dishonest,1
496,50,1
497,52,1
498,specific,4
499,steps,1
500,night,5
501,security,22
502,towards,1
503,attorney,2
504,right,23
505,old,5
506,deal,22
507,people,98
508,czech,1
509,51,1
510,somehow,1
511,born,2
512,donald,7
513,election,7
514,sisi,1
515,intellect,1
516,enemies,9
517,purple,1
518,outspoken,1
519,fox,5
520,comments,1
521,everything,5
522,asking,3
523,denied,1
524,beating,1
525,core,6
526,bold,3
527,burn,1
528,discount,1
529,freeloading,1
530,hardliners,1
531,dollars,6
532,months,6
533,o,2
534,trustworthy,1
535,plus,2
536,nerve,3
537,raised,3
538,statements,1
539,lied,1
540,civil,2
541,prisoners,1
542,son,3
543,beings,1
544,donated,1
545,doctrine,2
546,balanced,8
547,honored,1
548,rounds,2
549,crowd,2
550,support,10
551,flying,2
552,legislation,2
553,transform,1
554,fight,6
555,absolutely,4
556,fought,3
557,authorized,1
558,way,22
559,greatness,1
560,war,11
561,happy,2
562,lowest,1
563,head,2
564,offer,1
565,heal,1
566,differences,1
567,hear,5
568,sustained,4
569,true,7
570,responding,1
571,isis,21
572,builds,1
573,sermons,1
574,inside,2
575,generosity,1
576,isil,1
577,150,1
578,promises,1
579,medication,1
580,disgrace,2
581,estonia,1
582,stronger,6
583,proven,1
584,evidence,8
585,promised,2
586,fashioned,1
587,prayer,1
588,ship,1
589,check,2
590,negotiations,2
591,regime,2
592,radically,1
593,discriminate,1
594,dying,2
595,floor,3
596,generally,2
597,cliffhanger,1
598,interested,1
599,role,4
600,holding,1
601,test,1
602,tie,1
603,unwilling,2
604,shrink,4
605,picture,1
606,intend,6
607,brothers,1
608,welcome,6
609,stealing,4
610,parenthood,5
611,journey,1
612,funerals,1
613,died,2
614,billion,19
615,happening,4
616,vigorously,1
617,governed,1
618,vietnam,1
619,time,30
620,push,1
621,serious,2
622,stick,1
623,concept,2
624,corps,2
625,whoever,5
626,dance,1
627,alternatives,1
628,focus,1
629,leads,1
630,/,2
631,recidivism,1
632,chair,1
633,abundant,1
634,midst,1
635,certainly,3
636,killings,1
637,depend,2
638,1940,1
639,flash,2
640,father,10
641,disgusting,1
642,environment,2
643,answered,1
644,charge,1
645,terror,3
646,emirates,1
647,veterans,4
648,advantage,4
649,unfamiliar,1
650,choice,7
651,anonymous,1
652,word,4
653,trouble,5
654,expectations,2
655,minute,3
656,governments,1
657,oftentimes,1
658,aggressively,1
659,hour,4
660,level,6
661,tear,2
662,die,4
663,brother,4
664,standards,6
